HQ ID,Ecosystem Area,Asset Type,Asset / Idea,Topic / Cluster,Primary Channel,Secondary Channels,Format,Stage,Priority,Next Action,Blocked By,Owner,Calendar Use,Publish URL,Source / Evidence,Notes,Short Description,Seasonality,Planning Month,Target Publish Date,Susy Input,Last Updated,Last Posted Date,Last Checked,Metric Snapshot,Work Date,Pillar,Audience,CTA / Goal,Copy / Captions,Examples,Affiliate Angle,Missing / Incomplete Items,Last Optimized Date,Canva Design URL,Canva Template URL,Visual Asset Status
BW-HQ-001,System,Operating System,Bloom Whispers Content HQ,All,Codex,"Spreadsheet, Dashboard",Tracker,In Production,P0 - active this week,Create first tracker and use it as weekly source of truth,,Codex,Weekly review block,,docs/brands/bloom-whispers/content-hq/bloom-whispers-content-hq.csv,"This tracker is the control room, not another idea graveyard.","This tracker is the control room, not another idea graveyard.",Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-002,Capture,Inbox,Apple Notes idea inbox,All,Apple Notes,Codex,Voice notes,Captured,P0 - active this week,Create Notes folder named Bloom Whispers - Idea Inbox,,Susy,None,,docs/brands/bloom-whispers/content-hq/README.md,Use voice capture. Messy is fine.,Use voice capture. Messy is fine.,Evergreen,August 2026,,Create Apple Notes folder: Bloom Whispers - Idea Inbox,2026-08-18,,,,,,,,,,,,
BW-HQ-003,Planning,Calendar,Bloom Whispers Apple Calendar,All,Apple Calendar,Codex,Calendar,Captured,P0 - active this week,"Create Bloom Whispers calendar and add only work blocks, publish dates, and review dates",,Susy,Create calendar,,docs/brands/bloom-whispers/content-hq/README.md,"Calendar is for time reality, not all ideas.","Calendar is for time reality, not all ideas.",Evergreen,August 2026,,"Create Bloom Whispers calendar for work blocks, publish dates, and review dates",2026-08-18,,,,,,,,,,,,
BW-HQ-004,Website,Conversion,Email and list capture integration,Email / quiz / guide,Website,Email platform,Integration,Hold,P1 - next best move,Choose email platform and wire real forms,Email platform not selected,Susy + Codex,Schedule after platform decision,,docs/brands/bloom-whispers/README.md,Current forms are placeholder smoke-test surfaces.,Current forms are placeholder smoke-test surfaces.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-005,Measurement,Analytics,"Expanded quiz, guide, letter, podcast, contact tracking",Analytics,Website,Dashboard,Tracking,Hold,P1 - next best move,Define events and implement tracking after capture path is selected,Email/list path not final,Codex,Schedule implementation block,,docs/brands/bloom-whispers/README.md,Needed before serious funnel readout.,Needed before serious funnel readout.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-010,Blog,Article,Queen Anne's Lace Uses: What To Do With This Wildflower And What Not To Do,Queen Anne's Lace,Website,"Pinterest, Instagram, Affiliate",Satellite article,Editor Review,P0 - active this week,"Run editor review, revise if needed, prepare publisher brief",Needs editor approval,Codex,Add production/edit block,,docs/brands/bloom-whispers/content-pipeline/queen-annes-lace/satellites/queen-annes-lace-uses/writer-draft-v2.md,Forgotten ready draft. High-value rescue.,Forgotten ready draft. High-value rescue.,Evergreen,August 2026,,,2026-06-09,,,,,Queen Anne’s Lace,Flower meaning readers who need safe wildflower guidance,Publish rescue draft and feed Pinterest/Instagram repurposing,,,,,
BW-HQ-011,Blog,Article,"Dandelion Facts: The Weed That Became A Wish, A Clock, And A Tiny Flying Machine",Dandelion,Website,"Pinterest, Instagram, Podcast",Pillar article,Research Complete,P1 - next best move,Create article brief and draft from dossier,Needs selection/approval,Codex,Add article drafting block,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,Strongest not-yet-produced research package.,Strongest not-yet-produced research package.,Evergreen,,,Approve the dandelion article angle,2026-08-09,,,,,,,,,,,,
BW-HQ-012,Blog,Article,Dandelion Meaning,Dandelion,Website,"Pinterest, Instagram",Satellite article,Idea Bank,P2 - strong backlog,Create brief after main dandelion article direction is approved,Main dandelion pillar not drafted,Codex,None yet,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,"Wishes, resilience, overlooked beauty.","Wishes, resilience, overlooked beauty.",Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-013,Blog,Article,Are Dandelions Good For Bees?,Dandelion,Website,Pinterest,Satellite article,Idea Bank,P2 - strong backlog,Create nuanced ecology brief,Needs source-care pass,Codex,None yet,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,Do not flatten into dandelions save bees.,Do not flatten into dandelions save bees.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-014,Blog,Article,Dandelion Seed Facts,Dandelion,Website,"Pinterest, Instagram",Satellite article,Idea Bank,P2 - strong backlog,Build science-led brief around vortex ring and seed flight,Needs science simplification,Codex,None yet,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,Useful as carousel and pin support.,Useful as carousel and pin support.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-015,Blog,Article,Dandelion Names Around The World,Dandelion,Website,"Pinterest, Instagram",Satellite article,Idea Bank,P3 - someday / parking lot,Hold until main dandelion package is published,Main dandelion pillar not drafted,Codex,None yet,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,Name and folklore angle.,Name and folklore angle.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-016,Blog,Article,Dandelion Uses,Dandelion,Website,"Pinterest, Affiliate",Satellite article,Idea Bank,P3 - someday / parking lot,Only pursue with careful safety and historical framing,Safety-sensitive,Codex,None yet,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,"No foraging, supplement, or medical advice.","No foraging, supplement, or medical advice.",Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-017,Blog,Article,"Cosmos Flower Facts: The Mexican Flower Named After Order, Harmony, And The Universe",Cosmos,Website,"Pinterest, Instagram, Podcast",Pillar article,Research Complete,P1 - next best move,"Ask Susy to approve angle, then create article brief",Needs selection/approval,Codex,Consider September/October seasonal block,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,October birth flower timing makes this seasonal.,October birth flower timing makes this seasonal.,Seasonal,,,Approve the cosmos article angle,2026-08-09,,,,,,,,,,,,
BW-HQ-018,Blog,Article,Cosmos Flower Meaning,Cosmos,Website,"Pinterest, Instagram",Satellite article,Idea Bank,P2 - strong backlog,Brief after Cosmos pillar moves forward,Pillar not drafted,Codex,None yet,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,"Order, harmony, balance, beauty.","Order, harmony, balance, beauty.",Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-019,Blog,Article,October Birth Flower Cosmos,Cosmos,Website,"Pinterest, Affiliate",Satellite article,Idea Bank,P1 - next best move,Use if October lead time becomes priority,Needs seasonal decision,Codex,September production block,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,Time-sensitive.,Time-sensitive.,Seasonal,September 2026,,Decide if October birth flower timing should be prioritized,2026-08-09,,,,,,,,,,,,
BW-HQ-020,Blog,Article,Cosmos Flower Origin,Cosmos,Website,Pinterest,Satellite article,Idea Bank,P2 - strong backlog,Brief as Mexico/native-origin satellite,Pillar not drafted,Codex,None yet,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,Could support cultural depth.,Could support cultural depth.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-021,Blog,Article,Cosmos In Japan,Cosmos,Website,"Pinterest, Podcast",Satellite article,Idea Bank,P2 - strong backlog,Hold for culture-specific source polish,Needs careful cultural context,Codex,None yet,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,Akizakura/autumn cherry blossom angle.,Akizakura/autumn cherry blossom angle.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-022,Blog,Article,Cosmos Garden Uses,Cosmos,Website,"Pinterest, Affiliate",Satellite article,Idea Bank,P3 - someday / parking lot,Hold unless gardening/affiliate lane becomes priority,Garden content may pull brand too broad,Codex,None yet,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,"Cutting, cottage, pollinator gardens.","Cutting, cottage, pollinator gardens.",Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-023,Blog,Article,Cosmos Colors,Cosmos,Website,"Pinterest, Etsy",Satellite article,Idea Bank,P3 - someday / parking lot,Use later as visual/product support,Pillar not drafted,Codex,None yet,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,Good for product and pin visuals.,Good for product and pin visuals.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-024,Blog,Article,Cempasuchil Meaning: Why Marigolds Guide The Dead Home,Marigold,Website,"Pinterest, Instagram",Satellite article,Idea Bank,P1 - next best move,Create respectful source-led brief before Dia de Muertos window,Needs cultural respect review,Codex,Seasonal production block,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,High seasonal relevance.,High seasonal relevance.,Seasonal,September 2026,,,2026-08-13,,,,,,,,,,,,
BW-HQ-025,Blog,Article,Marigold Wedding Meaning And Garland Ideas,Marigold,Website,"Pinterest, Affiliate",Satellite article,Idea Bank,P2 - strong backlog,Add India/South Asia sources before drafting,Needs stronger cultural sources,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Useful commercial search lane.,Useful commercial search lane.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
